timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_04_23_12_28_12_568,24.73683,-49.99863,6.268112,0.01126464,0.00765497,0.6471794871794874,0.0
2024_04_23_12_28_12_691,24.7787,-49.99826,6.265092,0.006265885,0.007822226,0.6471794871794874,0.0
2024_04_23_12_28_12_795,24.81823,-49.99857,6.26459,0.006041647,0.005666497,0.6471794871794874,0.0
2024_04_23_12_28_12_899,24.85622,-49.9992,6.264559,0.006526343,0.003615848,0.6471794871794874,0.0
2024_04_23_12_28_12_999,24.89216,-49.99976,6.264879,0.005366802,0.00284558,0.6471794871794874,0.0
2024_04_23_12_28_13_103,24.93005,-50.00001,6.264748,0.002530003,0.003720729,0.6471794871794874,0.0
2024_04_23_12_28_13_209,24.96963,-50.00093,6.265861,0.002016546,0.001194082,0.6471794871794874,0.0
2024_04_23_12_28_13_309,25.00631,-50.00161,6.266778,0.001079113,6.281822,0.6471794871794874,0.0
2024_04_23_12_28_13_413,25.04491,-50.00226,6.267103,6.28232,6.280051,0.6471794871794874,0.0
2024_04_23_12_28_13_517,25.08375,-50.00283,6.267156,6.280498,6.278409,0.6471794871794874,0.0
2024_04_23_12_28_13_641,25.12817,-50.00326,6.267555,6.278513,6.274533,0.6471794871794874,0.0
2024_04_23_12_28_13_745,25.16593,-50.00327,6.26726,6.275915,6.273709,0.6471794871794874,0.0
2024_04_23_12_28_13_850,25.20345,-50.00378,6.267353,6.276618,6.274857,0.6471794871794874,0.0
2024_04_23_12_28_13_974,25.24891,-50.00446,6.26725,6.278039,6.275043,0.6471794871794874,0.0
2024_04_23_12_28_14_078,25.28756,-50.00457,6.266164,6.275956,6.271982,0.6471794871794874,0.0
2024_04_23_12_28_14_184,25.32557,-50.00486,6.265275,6.275323,6.26912,0.6471794871794874,0.0
2024_04_23_12_28_14_283,25.36095,-50.00523,6.264896,6.276313,6.268449,0.6471794871794874,0.0
2024_04_23_12_28_14_387,25.398,-50.00558,6.263887,6.278133,6.269586,0.6471794871794874,0.0
2024_04_23_12_28_14_491,25.43339,-50.00579,6.26294,6.279958,6.269477,0.6471794871794874,0.02167403
2024_04_23_12_28_14_606,25.472,-50.00637,6.265066,6.281441,6.265913,0.6471794871794874,0.06223361
2024_04_23_12_28_14_712,25.50893,-50.00654,6.268193,6.281365,6.265067,0.6471794871794874,0.07744345
2024_04_23_12_28_14_824,25.54467,-50.00648,6.273828,6.280474,6.264696,0.6471794871794874,0.1332129
2024_04_23_12_28_14_928,25.57897,-50.00613,6.279973,6.27862,6.262897,0.6471794871794874,0.1332129
2024_04_23_12_28_15_033,25.61423,-50.00571,0.003658651,6.277801,6.260249,0.6471794871794874,0.1433527
2024_04_23_12_28_15_133,25.64855,-50.00506,0.0110143,6.276583,6.259716,0.6471794871794874,0.1585626
2024_04_23_12_28_15_238,25.68423,-50.00409,0.01921364,6.275653,6.260456,0.6471794871794874,0.1585626
2024_04_23_12_28_15_341,25.72021,-50.00277,0.02745932,6.274055,6.260259,0.6471794871794874,0.1585626
2024_04_23_12_28_15_465,25.76431,-50.001,0.03854074,6.274165,6.258351,0.6471794871794874,0.1737724
2024_04_23_12_28_15_569,25.80058,-49.99897,0.0478144,6.273138,6.256695,0.6471794871794874,0.1737724
2024_04_23_12_28_15_672,25.83625,-49.99637,0.05738047,6.270072,6.254764,0.6471794871794874,0.1737724
2024_04_23_12_28_15_770,25.87038,-49.99363,0.06778864,6.267421,6.253334,0.6471794871794874,0.1839123
