timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_04_23_13_49_17_625,24.73275,-50.00015,6.274989,0.01154853,0.008293042,0.4968158383890657,0.0
2024_04_23_13_49_17_730,24.76309,-49.99971,6.272248,0.008286692,0.007138337,0.9604192380849812,0.0
2024_04_23_13_49_17_840,24.82507,-49.99954,6.268918,0.006378271,0.003972665,1.415247000073972,0.0
2024_04_23_13_49_17_960,24.91493,-50.00091,6.270748,0.005079714,0.001340323,1.488067599067599,0.0
2024_04_23_13_49_18_075,25.01545,-50.00222,6.274033,0.001330515,6.280387,1.488067599067599,0.0
2024_04_23_13_49_18_190,25.11904,-50.00257,6.27477,6.279183,6.275206,1.488067599067599,0.0
2024_04_23_13_49_18_308,25.22385,-50.00293,6.275653,6.277162,6.274615,1.488067599067599,0.0
2024_04_23_13_49_18_423,25.3282,-50.00271,6.271763,6.274726,6.269272,1.488067599067599,0.0
2024_04_23_13_49_18_523,25.41653,-50.0032,6.269524,6.278003,6.269938,1.488067599067599,0.0
2024_04_23_13_49_18_624,25.50456,-50.00409,6.266991,6.281402,6.265037,1.488067599067599,0.0
2024_04_23_13_49_18_740,25.60654,-50.00455,6.262996,6.278327,6.261151,1.488067599067599,0.0
2024_04_23_13_49_18_841,25.69431,-50.00586,6.262031,6.27612,6.260055,1.488067599067599,0.0
2024_04_23_13_49_18_958,25.79796,-50.00771,6.26115,6.275548,6.253754,1.488067599067599,0.0
2024_04_23_13_49_19_058,25.88585,-50.0092,6.262543,6.272572,6.250549,1.488067599067599,0.0
2024_04_23_13_49_19_157,25.97229,-50.00917,6.258198,6.268181,6.24404,1.488067599067599,0.0
2024_04_23_13_49_19_258,26.05168,-50.00853,6.251892,6.26134,6.234187,1.488067599067599,0.0
2024_04_23_13_49_19_374,26.15119,-50.00922,6.241983,6.260764,6.202703,1.488067599067599,0.0
2024_04_23_13_49_19_491,26.25958,-50.01165,6.229856,6.266107,6.159482,1.488067599067599,0.0
2024_04_23_13_49_19_591,26.35151,-50.01518,6.219193,6.270429,6.118737,1.488067599067599,0.0
2024_04_23_13_49_19_691,26.44539,-50.01942,6.207205,6.270562,6.085216,1.488067599067599,0.0
2024_04_23_13_49_19_791,26.53989,-50.02288,6.193833,6.254823,6.063995,1.488067599067599,0.0
2024_04_23_13_49_19_907,26.64909,-50.02716,6.170067,6.232692,6.060103,1.488067599067599,-0.1309528
2024_04_23_13_49_20_008,26.734,-50.03571,6.14559,6.227353,6.060951,1.488067599067599,-0.1343342
2024_04_23_13_49_20_108,26.80331,-50.04481,6.131783,6.240417,6.0628,1.488067599067599,0.0
2024_04_23_13_49_20_208,26.87822,-50.0532,6.12383,6.238723,6.061392,1.488067599067599,0.0
2024_04_23_13_49_20_328,26.97317,-50.06616,6.115552,6.240073,6.04565,1.488067599067599,0.0
2024_04_23_13_49_20_442,27.05945,-50.07853,6.101854,6.23484,6.038073,1.488067599067599,-0.106317
2024_04_23_13_49_20_551,27.15178,-50.09435,6.063859,6.237178,6.045298,1.488067599067599,-0.2839466
2024_04_23_13_49_20_658,27.24106,-50.11427,6.000147,6.235569,6.042892,1.488067599067599,-0.4458449
2024_04_23_13_49_20_758,27.32401,-50.13951,5.915174,6.248493,6.037337,1.488067599067599,-0.5235988
2024_04_23_13_49_20_873,27.40842,-50.17602,5.8282,6.273265,6.050007,1.488067599067599,-0.5235988
2024_04_23_13_49_20_974,27.46772,-50.20515,5.764906,6.277262,6.063557,1.488067599067599,-0.5235988
2024_04_23_13_49_21_090,27.52694,-50.23997,5.696054,0.006995591,6.082509,1.488067599067599,-0.5235988
2024_04_23_13_49_21_210,27.5896,-50.28381,5.625155,0.02460814,6.088953,1.488067599067599,-0.3904382
2024_04_23_13_49_21_329,27.65943,-50.34223,5.571903,0.04819576,6.093715,1.488067599067599,-0.1989053
2024_04_23_13_49_21_441,27.72777,-50.40173,5.546762,0.04938779,6.105188,1.488067599067599,-0.02481199
2024_04_23_13_49_21_557,27.80453,-50.46753,5.533433,0.03768107,6.11854,1.488067599067599,0.0
2024_04_23_13_49_21_673,27.88553,-50.53891,5.51963,0.03010384,6.119201,1.488067599067599,0.0
2024_04_23_13_49_21_774,27.95551,-50.60296,5.509102,0.02581988,6.123057,1.488067599067599,0.0
2024_04_23_13_49_21_893,28.03133,-50.67836,5.500159,0.03373426,6.15153,1.488067599067599,0.0
2024_04_23_13_49_22_007,28.10839,-50.75434,5.490624,0.04146808,6.180731,1.488067599067599,0.0
2024_04_23_13_49_22_123,28.18945,-50.83407,5.48028,0.03059812,6.223289,1.488067599067599,0.0
2024_04_23_13_49_22_224,28.26627,-50.90682,5.467572,0.008236624,6.257761,1.488067599067599,0.0
2024_04_23_13_49_22_328,28.34292,-50.98408,5.466163,6.270868,0.0151336,1.488067599067599,0.0
2024_04_23_13_49_22_440,28.41992,-51.05919,5.461711,6.250448,0.06506593,1.488067599067599,0.0
2024_04_23_13_49_22_541,28.48605,-51.13068,5.458796,6.268221,0.09606119,1.488067599067599,0.0
2024_04_23_13_49_22_640,28.55778,-51.20852,5.44958,6.279823,0.1116948,1.488067599067599,0.0
2024_04_23_13_49_22_757,28.64964,-51.30441,5.435703,6.264653,0.1355433,1.488067599067599,0.0
2024_04_23_13_49_22_857,28.7325,-51.39412,5.421468,6.257542,0.1523166,1.488067599067599,0.0
2024_04_23_13_49_22_956,28.81711,-51.48481,5.413852,6.229709,0.157127,1.488067599067599,0.0
2024_04_23_13_49_23_073,28.89975,-51.58468,5.412858,6.244884,0.1894397,1.488067599067599,0.0
2024_04_23_13_49_23_191,28.98058,-51.67911,5.411342,6.246825,0.2109324,1.488067599067599,0.02601675
2024_04_23_13_49_23_305,29.06229,-51.7701,5.433431,6.237792,0.2150968,1.488067599067599,0.2086109
2024_04_23_13_49_23_407,29.13362,-51.84557,5.485884,6.239404,0.2131133,1.488067599067599,0.3668894
2024_04_23_13_49_23_523,29.21381,-51.92144,5.570386,6.264984,0.2270094,1.488067599067599,0.5235988
2024_04_23_13_49_23_623,29.2859,-51.97721,5.650092,6.281221,0.2375158,1.488067599067599,0.5235988
2024_04_23_13_49_23_735,29.369,-52.03171,5.73166,0.020615,0.2315984,1.488067599067599,0.4444129
2024_04_23_13_49_23_839,29.44808,-52.07782,5.791749,0.03465039,0.2117543,1.488067599067599,0.2838622
2024_04_23_13_49_23_939,29.53244,-52.12228,5.825203,0.0474341,0.1937874,1.488067599067599,0.1267313
2024_04_23_13_49_24_040,29.62117,-52.16619,5.834165,0.0495039,0.1727682,1.488067599067599,0.0
2024_04_23_13_49_24_159,29.72659,-52.21675,5.83683,0.04027712,0.1467608,1.488067599067599,0.0
2024_04_23_13_49_24_273,29.83134,-52.26662,5.851808,0.03627172,0.1296972,1.488067599067599,0.1310567
2024_04_23_13_49_24_390,29.93511,-52.31309,5.888316,0.05060219,0.123074,1.488067599067599,0.313643
2024_04_23_13_49_24_490,30.02066,-52.3465,5.937205,0.05922551,0.118283,1.488067599067599,0.3123335
2024_04_23_13_49_24_608,30.12395,-52.37976,5.968445,0.06055442,0.1111487,1.488067599067599,0.1283647
2024_04_23_13_49_24_723,30.23087,-52.41337,5.971931,0.0578167,0.1064263,1.488067599067599,0.0
2024_04_23_13_49_24_823,30.3241,-52.44348,5.970185,0.05726009,0.1012165,1.488067599067599,0.0
2024_04_23_13_49_24_940,30.43468,-52.47884,5.968373,0.05130526,0.1021811,1.488067599067599,0.0
2024_04_23_13_49_25_056,30.54389,-52.516,5.96864,0.05684304,0.1040156,1.488067599067599,0.0
2024_04_23_13_49_25_174,30.65463,-52.55306,5.971252,0.05369732,0.1018317,1.488067599067599,0.0
2024_04_23_13_49_25_290,30.76304,-52.58863,5.971107,0.05237319,0.1031205,1.488067599067599,0.0
2024_04_23_13_49_25_390,30.85651,-52.6194,5.970517,0.05180381,0.1025959,1.488067599067599,0.0
2024_04_23_13_49_25_506,30.96443,-52.65511,5.972425,0.05054254,0.09718287,1.488067599067599,0.0
2024_04_23_13_49_25_617,31.0708,-52.68915,5.968825,0.05160993,0.09556527,1.488067599067599,0.0
2024_04_23_13_49_25_737,31.18159,-52.72498,5.965207,0.04972015,0.09766024,1.488067599067599,0.0
2024_04_23_13_49_25_840,31.2783,-52.756,5.961388,0.04546176,0.09695261,1.488067599067599,0.0
2024_04_23_13_49_25_941,31.37228,-52.78687,5.957876,0.04431447,0.09359466,1.488067599067599,0.0
2024_04_23_13_49_26_041,31.46692,-52.81862,5.954543,0.04442046,0.09551034,1.488067599067599,0.0
2024_04_23_13_49_26_159,31.57617,-52.85607,5.953512,0.04297649,0.09537543,1.488067599067599,0.0
2024_04_23_13_49_26_273,31.68313,-52.89246,5.951725,0.03991492,0.08966781,1.488067599067599,0.0
2024_04_23_13_49_26_374,31.77609,-52.92463,5.951132,0.03769811,0.09064094,1.488067599067599,0.0
2024_04_23_13_49_26_490,31.8848,-52.96076,5.947217,0.03072862,0.08976525,1.488067599067599,0.0
2024_04_23_13_49_26_591,31.97724,-52.99213,5.942642,0.0283909,0.08450831,1.488067599067599,-0.02743766
2024_04_23_13_49_26_709,32.08416,-53.02989,5.914762,0.02590563,0.08072435,1.488067599067599,-0.2110596
2024_04_23_13_49_26_822,32.1866,-53.07197,5.853927,0.02137773,0.0801952,1.488067599067599,-0.3928539
2024_04_23_13_49_26_932,32.2756,-53.116,5.769366,0.0125094,0.07779983,1.488067599067599,-0.5235988
2024_04_23_13_49_27_041,32.35381,-53.16473,5.683146,0.008152469,0.07339755,1.488067599067599,-0.5235988
2024_04_23_13_49_27_157,32.43157,-53.22236,5.594045,6.282016,0.07283426,1.488067599067599,-0.5235988
2024_04_23_13_49_27_258,32.49187,-53.27651,5.52187,6.278188,0.06768171,1.488067599067599,-0.5235988
2024_04_23_13_49_27_374,32.55738,-53.345,5.439179,6.272429,0.06367198,1.488067599067599,-0.5235988
2024_04_23_13_49_27_490,32.61498,-53.41731,5.364929,6.266978,0.05938441,1.488067599067599,-0.5235988
2024_04_23_13_49_27_607,32.6672,-53.49425,5.287426,6.266942,0.05728838,1.488067599067599,-0.5235988
2024_04_23_13_49_27_707,32.70766,-53.56367,5.218729,6.267434,0.05682793,1.488067599067599,-0.5235988
2024_04_23_13_49_27_809,32.74279,-53.63525,5.15396,6.266136,0.05596039,1.488067599067599,-0.5235988
2024_04_23_13_49_27_927,32.77881,-53.7245,5.076963,6.263762,0.05453511,1.488067599067599,-0.5235988
2024_04_23_13_49_28_040,32.80642,-53.80794,5.003295,6.261223,0.05159149,1.488067599067599,-0.5235988
2024_04_23_13_49_28_142,32.82625,-53.88467,4.936049,6.255255,0.04629249,1.488067599067599,-0.5235988
2024_04_23_13_49_28_256,32.84224,-53.97417,4.860165,6.252945,0.04503618,1.488067599067599,-0.5235988
2024_04_23_13_49_28_375,32.8512,-54.0647,4.78721,6.249259,0.04151412,1.488067599067599,-0.5235988
2024_04_23_13_49_28_490,32.85312,-54.15567,4.714545,6.248598,0.03806341,1.488067599067599,-0.5235988
2024_04_23_13_49_28_608,32.84919,-54.24659,4.638314,6.248022,0.03216245,1.488067599067599,-0.5235988
2024_04_23_13_49_28_729,32.83708,-54.34064,4.561133,6.250133,0.02652241,1.488067599067599,-0.5235988
2024_04_23_13_49_28_840,32.81989,-54.42413,4.492867,6.250182,0.02361059,1.488067599067599,-0.5235988
2024_04_23_13_49_28_941,32.7998,-54.49829,4.431484,6.249997,0.02204039,1.488067599067599,-0.5235988
2024_04_23_13_49_29_058,32.77032,-54.58353,4.357954,6.252907,0.02085914,1.488067599067599,-0.5235988
2024_04_23_13_49_29_174,32.73536,-54.66539,4.285645,6.252331,0.01659773,1.488067599067599,-0.5235988
2024_04_23_13_49_29_274,32.70128,-54.73489,4.220419,6.248905,0.01488738,1.488067599067599,-0.5235988
2024_04_23_13_49_29_391,32.65578,-54.81323,4.139227,6.24956,0.01379933,1.488067599067599,-0.5235988
2024_04_23_13_49_29_500,32.60648,-54.88488,4.057294,6.248938,0.01216223,1.488067599067599,-0.5235988
2024_04_23_13_49_29_608,32.55632,-54.94711,3.982023,6.246311,0.007627,1.488067599067599,-0.5235988
