timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_04_20_16_35_56_304,24.7339,-50.00023,6.275731,0.01145532,0.008328936,0.4616305372420763,0.0
2024_04_20_16_35_56_407,24.76007,-49.99984,6.273461,0.008558335,0.007537401,0.8199174226735992,0.0
2024_04_20_16_35_56_522,24.81744,-49.99947,6.270069,0.005972938,0.004938601,1.204219932759497,0.0
2024_04_20_16_35_56_623,24.88181,-50.00038,6.270768,0.006381999,0.001867131,1.20706993006993,0.0
2024_04_20_16_35_56_723,24.95078,-50.00098,6.272294,0.002869822,0.001823239,1.20706993006993,0.0
2024_04_20_16_35_56_839,25.03357,-50.00198,6.274191,-0.004244068,6.280081,1.20706993006993,-0.02655936
2024_04_20_16_35_56_954,25.11685,-50.00268,6.263448,6.279036,6.275461,1.20706993006993,-0.1403852
2024_04_20_16_35_57_054,25.18881,-50.00446,6.245579,6.276978,6.274464,1.20706993006993,-0.2010923
2024_04_20_16_35_57_171,25.27124,-50.00924,6.217615,6.278508,6.271882,1.20706993006993,-0.273182
2024_04_20_16_35_57_271,25.33961,-50.01514,6.183859,6.281308,6.266919,1.20706993006993,-0.3300949
2024_04_20_16_35_57_388,25.41655,-50.02483,6.137147,0.002356898,6.268442,1.20706993006993,-0.371831
2024_04_20_16_35_57_505,25.4918,-50.03806,6.090084,0.004634433,6.265568,1.20706993006993,-0.4173613
2024_04_20_16_35_57_605,25.55514,-50.05182,6.040396,0.003735882,6.260997,1.20706993006993,-0.4477149
2024_04_20_16_35_57_722,25.62618,-50.07244,5.987368,0.007054714,6.259239,1.20706993006993,-0.4477149
2024_04_20_16_35_57_822,25.68546,-50.09248,5.942446,0.006964699,6.258891,1.20706993006993,-0.4477149
2024_04_20_16_35_57_938,25.75128,-50.11857,5.892323,0.008161523,6.257222,1.20706993006993,-0.4477149
2024_04_20_16_35_58_038,25.80935,-50.14508,5.845334,0.01280554,6.256187,1.20706993006993,-0.4477149
2024_04_20_16_35_58_151,25.87207,-50.17779,5.795275,0.01563435,6.255804,1.20706993006993,-0.4477149
2024_04_20_16_35_58_255,25.92338,-50.20921,5.754802,0.02176122,6.247126,1.20706993006993,-0.4477149
2024_04_20_16_35_58_372,25.97629,-50.24564,5.713282,0.03168629,6.235774,1.20706993006993,-0.4211555
2024_04_20_16_35_58_488,26.02995,-50.28315,5.677953,0.025169,6.208533,1.20706993006993,-0.3756252
