timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_01_09_04_003,0.001357913,1.74188e-06,-3.101075e-05,-2.378428e-06,0.008663594,2.5,0.001573003
2024_02_11_01_09_04_042,0.02276811,1.70047e-06,-0.001473696,-9.999259e-05,0.00451727,2.5,0.001820259
2024_02_11_01_09_04_075,0.06062302,3.600526e-06,6.283276,-0.000208981,0.002344432,2.5,0.002021386
2024_02_11_01_09_04_112,0.1184053,1.114951e-05,0.0002135855,-0.0003512459,0.000902726,2.5,0.002215744
2024_02_11_01_09_04_150,0.1905881,3.074228e-05,0.0003930826,-0.0005251185,8.965972e-05,2.5,0.002455237
2024_02_11_01_09_04_183,0.2615071,6.21955e-05,0.0005917544,-0.0007028838,6.282965,2.5,0.002644574
2024_02_11_01_09_04_216,0.3408156,0.0001146051,0.0008335694,-0.0009045024,6.282937,2.5,0.002849939
2024_02_11_01_09_04_253,0.4322044,0.0002032208,0.001117462,-0.001141343,0.0001265226,2.5,0.003096211
2024_02_11_01_09_04_292,0.5283085,0.000328195,0.00144876,-0.00140757,0.0009210971,2.5,0.003299046
2024_02_11_01_09_04_329,0.6222649,0.0004828225,0.00181095,-0.001642261,0.001756003,2.5,0.003545277
2024_02_11_01_09_04_362,0.706016,0.0006501576,0.002160356,-0.001844511,0.002449402,2.5,0.003747719
2024_02_11_01_09_04_400,0.8023243,0.0008799275,0.002587527,-0.002071833,0.0031689,2.5,0.003948519
2024_02_11_01_09_04_438,0.8959613,0.001144062,0.003028547,-0.002287515,0.003792705,2.5,0.004195643
2024_02_11_01_09_04_471,0.9818967,0.001423834,0.003455185,-0.002483508,0.00430421,2.5,0.004397572
2024_02_11_01_09_04_508,1.075305,0.001770815,0.003943076,-0.002698802,0.004801276,2.5,0.004596283
2024_02_11_01_09_04_546,1.171139,0.002175516,0.004469317,-0.002919374,0.005255226,2.5,0.004843649
2024_02_11_01_09_04_583,1.264357,0.002618818,0.005006743,-0.003124097,0.00564725,2.5,0.005046848
2024_02_11_01_09_04_616,1.349949,0.003071037,0.005522331,-0.003312535,0.005968124,2.5,0.005244601
2024_02_11_01_09_04_654,1.443028,0.003614063,0.006106628,-0.003521405,0.006281419,2.5,0.005497538
2024_02_11_01_09_04_687,1.525987,0.004144923,0.006648315,-0.003704839,0.006530237,2.5,0.005693822
2024_02_11_01_09_04_725,1.621464,0.004812672,0.007296529,-0.003911519,0.006786294,2.5,0.005896125
2024_02_11_01_09_04_762,1.714371,0.005523191,0.007952199,-0.004116275,0.007009387,2.5,0.006146772
2024_02_11_01_09_04_800,1.809746,0.0063172,0.008651545,-0.004323548,0.007210376,2.5,0.006347997
2024_02_11_01_09_04_833,1.892537,0.007061616,0.009279518,-0.004506399,0.007367269,2.5,0.006546147
2024_02_11_01_09_04_866,1.9778,0.007883541,0.009946907,-0.004691254,0.007512216,2.5,0.006741561
2024_02_11_01_09_04_904,2.070568,0.008843616,0.01069685,-0.004888405,0.007653427,2.5,0.006997164
2024_02_11_01_09_04_937,2.153274,0.009759245,0.01138714,6.283274,0.007767143,2.5,0.007200818
2024_02_11_01_09_04_974,2.248489,0.01088524,0.01220527,6.283278,0.007881097,2.5,0.007393166
2024_02_11_01_09_05_012,2.341173,0.01205737,0.01302712,6.283281,0.007982886,2.5,0.007647827
2024_02_11_01_09_05_050,2.436337,0.01334143,0.01389691,6.283284,0.008073959,2.5,0.007847676
2024_02_11_01_09_05_087,2.528976,0.01467223,0.01476883,0.000102798,0.008153346,2.5,0.008095692
2024_02_11_01_09_05_121,2.614092,0.01596723,0.01559121,0.0001059938,0.008216685,2.5,0.008295956
2024_02_11_01_09_05_158,2.706707,0.01745698,0.01651,0.0001091896,0.008279449,2.5,0.008496696
2024_02_11_01_09_05_191,2.791796,0.01890169,0.01737606,0.0001123854,0.008332869,2.5,0.008697869
2024_02_11_01_09_05_229,2.884377,0.02055852,0.01834279,0.0001155812,0.008381686,2.5,0.008945452
2024_02_11_01_09_05_266,2.979445,0.02235439,0.01936065,0.0001193096,0.008428697,2.5,0.009144706
2024_02_11_01_09_05_300,3.061994,0.02399324,0.02026612,0.0001225054,0.008464564,2.5,0.009349446
2024_02_11_01_09_05_337,3.154542,0.02592061,0.02130476,0.0001262338,0.008499114,2.5,0.00959685
2024_02_11_01_09_05_374,3.24958,0.02800131,0.02239665,0.0001294296,0.008531857,2.5,0.009793581
2024_02_11_01_09_05_412,3.342103,0.03012789,0.02348588,0.0001331581,0.008559645,2.5,0.01004577
2024_02_11_01_09_05_449,3.437128,0.03241823,0.02462945,0.0001363538,0.008585328,2.5,0.01024272
2024_02_11_01_09_05_483,3.519632,0.0344959,0.02564411,0.0001395496,0.008606242,2.5,0.01044482
2024_02_11_01_09_05_516,3.602136,0.03665838,0.02667848,0.0001427454,0.008622271,2.5,0.01064662
2024_02_11_01_09_05_554,3.69713,0.03925505,0.02789395,0.0001464739,0.008641936,2.5,0.0108989
2024_02_11_01_09_05_591,3.789611,0.04189545,0.02910249,0.0001496696,0.008657217,2.5,0.01109535
2024_02_11_01_09_05_629,3.884603,0.04472506,0.03036909,0.0001533981,0.008670682,2.5,0.0113454
2024_02_11_01_09_05_662,3.967074,0.04728046,0.03149081,0.0001565939,0.008683619,2.5,0.01154945
2024_02_11_01_09_05_699,4.062045,0.05033894,0.03280695,0.0001597897,0.008694683,2.5,0.01174558
2024_02_11_01_09_05_738,4.154503,0.05343788,0.03411296,0.0001635181,0.008704541,2.5,0.01199506
2024_02_11_01_09_05_771,4.239471,0.05639353,0.03533535,0.0001667139,0.008711321,2.5,0.01217585
2024_02_11_01_09_05_803,4.321923,0.05936188,0.03654177,0.0001699097,0.008720892,2.5,0.01237155
2024_02_11_01_09_05_842,4.416862,0.06290442,0.03795484,0.0001731055,0.008727309,2.5,0.01262072
2024_02_11_01_09_05_878,4.50929,0.06648377,0.03935619,0.0001768339,0.008733901,2.5,0.01282143
2024_02_11_01_09_05_916,4.604201,0.07029556,0.04082147,0.0001805623,0.008740494,2.5,0.01307329
2024_02_11_01_09_05_954,4.696623,0.07414232,0.04227289,0.0001837581,0.008744231,2.5,0.01327249
2024_02_11_01_09_05_991,4.79152,0.07823328,0.04378983,0.0001874865,0.008749721,2.5,0.01352293
2024_02_11_01_09_06_030,4.883927,0.08235695,0.04529132,0.0001906823,0.008750863,2.5,0.0137221
2024_02_11_01_09_06_066,4.978846,0.0867387,0.04685938,0.0001944108,0.008752187,2.5,0.01396688
2024_02_11_01_09_06_103,5.07125,0.09114887,0.04841254,0.0001976066,0.008758104,2.5,0.01417331
2024_02_11_01_09_06_142,5.16614,0.09582879,0.05003227,0.000201335,0.008759547,2.5,0.01441742
2024_02_11_01_09_06_179,5.258532,0.1005347,0.0516355,0.0002050634,0.008762901,2.5,0.014619
2024_02_11_01_09_06_217,5.353397,0.1055225,0.05330796,0.0002082592,0.008769001,2.5,0.01486842
2024_02_11_01_09_06_253,5.445744,0.1105316,0.05496179,0.0002119876,0.008770684,2.5,0.01507134
2024_02_11_01_09_06_291,5.538086,0.1156952,0.05664011,0.000215716,0.0087718,2.5,0.01532319
2024_02_11_01_09_06_329,5.632918,0.1211613,0.05838927,0.0002189118,0.008771563,2.5,0.01551935
2024_02_11_01_09_06_366,5.72525,0.1266446,0.06011713,0.0002226403,0.008771368,2.5,0.01576843
2024_02_11_01_09_06_403,5.820076,0.1324439,0.06191849,0.0002258361,0.008773933,2.5,0.01596616
2024_02_11_01_09_06_437,5.902411,0.1376193,0.06350414,0.0002290319,0.008774394,2.5,0.01617326
2024_02_11_01_09_06_474,5.997213,0.1437419,0.06535504,0.0002327603,0.008775557,2.5,0.01641766
2024_02_11_01_09_06_507,6.079524,0.1492016,0.06698383,0.0002359561,0.008778152,2.5,0.01662025
2024_02_11_01_09_06_542,6.161823,0.154796,0.06863233,0.0002391519,0.008779332,2.5,0.01681887
2024_02_11_01_09_06_579,6.256582,0.1614076,0.07055459,0.0002423477,0.00877788,2.5,0.01701828
2024_02_11_01_09_06_616,6.348834,0.1680212,0.07245183,0.0002460761,0.008780138,2.5,0.01727023
2024_02_11_01_09_06_650,6.433605,0.1742544,0.07421697,0.0002492719,0.008778684,2.5,0.01747207
2024_02_11_01_09_06_687,6.525837,0.1812088,0.07616162,0.0002524677,0.008778833,2.5,0.01766796
2024_02_11_01_09_06_724,6.620557,0.18854,0.07818508,0.0002561961,0.00877976,2.5,0.01792068
2024_02_11_01_09_06_758,6.702792,0.1950626,0.07996354,0.0002593919,0.008779919,2.5,0.01811952
2024_02_11_01_09_06_795,6.794986,0.2025508,0.08198115,0.0002631203,0.008781292,2.5,0.01831828
2024_02_11_01_09_06_833,6.889649,0.2104358,0.08408026,0.0002663161,0.008782144,2.5,0.01857123
2024_02_11_01_09_06_869,6.981795,0.2183049,0.086149,0.0002700445,0.00878267,2.5,0.0187698
2024_02_11_01_09_06_907,7.076432,0.2265877,0.0882987,0.000273773,0.00878049,2.5,0.01902094
2024_02_11_01_09_06_941,7.158593,0.2339458,0.09018795,0.0002769688,0.008783462,2.5,0.01921692
2024_02_11_01_09_06_978,7.253186,0.242612,0.09238772,0.0002801645,0.008782805,2.5,0.01941654
2024_02_11_01_09_07_016,7.345271,0.2512517,0.09455447,0.000283893,0.008782703,2.5,0.01966783
2024_02_11_01_09_07_053,7.439826,0.260334,0.09680591,0.0002876214,0.008783876,2.5,0.01987211
2024_02_11_01_09_07_086,7.521926,0.2683952,0.0987825,0.0002908172,0.008782529,2.5,0.0200696
2024_02_11_01_09_07_124,7.616443,0.2778799,0.101084,0.000294013,0.008784872,2.5,0.0203161
2024_02_11_01_09_07_161,7.708447,0.2873247,0.1033493,0.0002977414,0.008783538,2.5,0.02052109
2024_02_11_01_09_07_199,7.802915,0.2972435,0.1057025,0.0003009372,0.008783994,2.5,0.02076761
2024_02_11_01_09_07_233,7.88494,0.3060379,0.1077669,0.000304133,0.008784453,2.5,0.02097171
2024_02_11_01_09_07_270,7.976879,0.3161011,0.1101052,0.0003078614,0.008783537,2.5,0.02116547
2024_02_11_01_09_07_304,8.061338,0.3255383,0.1122767,0.0003110572,0.00878495,2.5,0.02137007
2024_02_11_01_09_07_341,8.153235,0.3360183,0.1146635,0.0003147856,0.008784043,2.5,0.02161784
2024_02_11_01_09_07_379,8.247576,0.3470103,0.1171413,0.0003179814,0.008785262,2.5,0.0218192
2024_02_11_01_09_07_416,8.339417,0.3579396,0.1195775,0.0003217099,0.008783523,2.5,0.02206978
2024_02_11_01_09_07_449,8.423786,0.3681804,0.1218401,0.0003249056,0.008785301,2.5,0.02226749
2024_02_11_01_09_07_487,8.515565,0.3795428,0.1243254,0.0003281015,0.008784408,2.5,0.02247165
2024_02_11_01_09_07_520,8.597403,0.3898703,0.126563,0.0003312972,0.008786192,2.5,0.0226655
2024_02_11_01_09_07_558,8.691605,0.4019898,0.1291644,0.0003350257,0.008785429,2.5,0.02291964
2024_02_11_01_09_07_595,8.783308,0.4140282,0.1317221,0.0003387541,0.00878449,2.5,0.02311549
2024_02_11_01_09_07_628,8.867534,0.4252971,0.1340955,0.0003419499,0.008785615,2.5,0.02332023
2024_02_11_01_09_07_661,8.949266,0.4364275,0.1364188,0.0003451457,0.008784849,2.5,0.0235223
