timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_02_07_12_617,0.003867537,-4.039981e-08,0.000182758,3.78526e-05,0.00835141,0.626,-0.002486455
2024_02_11_02_07_12_650,0.01213211,-2.338847e-07,0.001803642,8.592239e-05,0.007693001,0.626,-0.002685214
2024_02_11_02_07_12_687,0.02538207,-1.401369e-06,0.004774631,0.0001293743,0.007286923,0.626,-0.002932476
2024_02_11_02_07_12_725,0.04221332,-4.142759e-06,6.283029,0.0001651872,0.007097888,0.626,-0.003137439
2024_02_11_02_07_12_762,0.06076187,-8.819552e-06,6.28294,0.0002017462,0.007057027,0.626,-0.003387595
2024_02_11_02_07_12_796,0.07910672,-1.534066e-05,6.282846,0.0002240519,0.007097971,0.626,-0.003582872
2024_02_11_02_07_12_833,0.1000518,-2.510611e-05,6.282732,0.0002531572,0.007193892,0.626,-0.003787517
2024_02_11_02_07_12_872,0.1223007,-3.832948e-05,6.282604,0.0002750678,0.007324081,0.626,-0.004034358
2024_02_11_02_07_12_908,0.1444538,-5.455317e-05,6.282467,0.0002994743,0.007464818,0.626,-0.004257503
2024_02_11_02_07_12_945,0.1675456,-7.491266e-05,6.282317,0.0003193843,0.007613147,0.626,-0.00446123
2024_02_11_02_07_12_978,0.1877892,-9.579255e-05,6.282179,0.0003369434,0.007739489,0.626,-0.004660627
2024_02_11_02_07_13_017,0.2106358,-0.0001229704,6.282016,0.0003569479,0.007874639,0.626,-0.004910859
2024_02_11_02_07_13_054,0.2342121,-0.0001551412,6.28184,0.0003761852,0.00800484,0.626,-0.005106599
2024_02_11_02_07_13_087,0.2547507,-0.0001867197,6.28168,0.0003894495,0.008109326,0.626,-0.005315588
2024_02_11_02_07_13_121,0.2759521,-0.0002228862,6.281507,0.0004054987,0.008208804,0.626,-0.00551253
2024_02_11_02_07_13_157,0.2990591,-0.0002666951,6.281312,0.000424756,0.008307406,0.626,-0.005757103
2024_02_11_02_07_13_191,0.3196906,-0.0003097897,6.281132,0.0004399283,0.008387536,0.626,-0.005955644
2024_02_11_02_07_13_228,0.3434601,-0.0003642883,6.280916,0.0004575585,0.008471197,0.626,-0.006157343
2024_02_11_02_07_13_266,0.3666144,-0.0004225326,6.280698,0.0004730734,0.008543923,0.626,-0.006407213
2024_02_11_02_07_13_299,0.387899,-0.0004806934,6.280491,0.0004890023,0.008604253,0.626,-0.006605517
2024_02_11_02_07_13_337,0.4110627,-0.0005491984,6.280258,0.0005073579,0.008663173,0.626,-0.006810588
2024_02_11_02_07_13_370,0.4323527,-0.0006171034,6.280037,0.0005194459,0.008711546,0.626,-0.00700573
2024_02_11_02_07_13_408,0.4555244,-0.0006965155,6.279789,0.0005372153,0.008759013,0.626,-0.007269087
2024_02_11_02_07_13_441,0.4761879,-0.0007723649,6.279562,0.0005501198,0.008796895,0.626,-0.007456143
2024_02_11_02_07_13_475,0.4974785,-0.0008556145,6.279321,0.0005645997,0.00883194,0.626,-0.007656601
2024_02_11_02_07_13_512,0.5206486,-0.0009522224,6.279051,0.0005834224,0.008866139,0.626,-0.007858239
