timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_10_00_24_26_851,0.009674937,-7.493552e-06,0.000654605,-0.004484952,0.006573718,1.809,0.1763699
2024_02_10_00_24_26_884,0.03313488,-8.224742e-07,0.006862966,0.0004122573,0.004719601,1.809,0.3141992
2024_02_10_00_24_26_922,0.07263196,0.0005119168,0.02212021,0.0006945524,0.003522325,1.809,0.3141992
2024_02_10_00_24_26_954,0.1146384,0.001799174,0.03903981,0.0008767126,0.003036982,1.809,0.3141992
2024_02_10_00_24_26_993,0.1689267,0.004597632,0.06120051,0.001071656,0.002934637,1.809,0.3141992
2024_02_10_00_24_27_026,0.2194081,0.008321108,0.08228102,0.001231446,0.003099323,1.809,0.3141992
2024_02_10_00_24_27_063,0.2798814,0.01420759,0.1081883,0.001399225,0.003452823,1.809,0.3141992
2024_02_10_00_24_27_101,0.3401919,0.02166665,0.1345232,0.001543568,0.003878215,1.809,0.3141992
2024_02_10_00_24_27_135,0.3946354,0.02979471,0.1585923,0.001658617,0.004281037,1.809,0.3141992
2024_02_10_00_24_27_168,0.4510325,0.03963757,0.1837576,0.001765676,0.004695745,1.809,0.3141992
2024_02_10_00_24_27_204,0.5124874,0.05204358,0.2114177,0.001870072,0.005129849,1.809,0.3141992
2024_02_10_00_24_27_243,0.5754778,0.06661557,0.2400131,0.001965413,0.005547853,1.809,0.3141992
2024_02_10_00_24_27_276,0.6299508,0.08076467,0.264943,0.002039449,0.005883486,1.809,0.3141992
2024_02_10_00_24_27_313,0.6906706,0.09826604,0.2929648,0.002114017,0.006228983,1.809,0.3141992
2024_02_10_00_24_27_347,0.7460612,0.1158609,0.3187543,0.002174737,0.006517891,1.809,0.3141992
2024_02_10_00_24_27_384,0.8058301,0.1366367,0.346849,0.002234392,0.006802776,1.809,0.3141992
2024_02_10_00_24_27_421,0.8665951,0.1597209,0.375723,0.002288188,0.007065475,1.809,0.3141992
2024_02_10_00_24_27_459,0.9251013,0.1838787,0.4038481,0.00233506,0.007294476,1.809,0.3141992
2024_02_10_00_24_27_493,0.9782459,0.2075219,0.4296989,0.002373409,0.007483712,1.809,0.3141992
2024_02_10_00_24_27_526,1.029223,0.2317764,0.4547928,0.002406432,0.007649579,1.809,0.3141992
2024_02_10_00_24_27_564,1.085631,0.2604813,0.4829296,0.002439988,0.007816946,1.809,0.3141992
2024_02_10_00_24_27_601,1.142693,0.2916008,0.5118281,0.002470348,0.007969921,1.809,0.3141992
2024_02_10_00_24_27_638,1.197361,0.3234713,0.539966,0.00249698,0.008102585,1.809,0.3141992
2024_02_10_00_24_27_676,1.252545,0.357789,0.5688651,0.002520416,0.008224224,1.809,0.3141992
2024_02_10_00_24_27_713,1.305297,0.3927193,0.5970024,0.002541188,0.0083297,1.809,0.3141992
2024_02_10_00_24_27_751,1.358422,0.4301214,0.6258988,0.00255983,0.008426085,1.809,0.3141992
2024_02_10_00_24_27_785,1.403662,0.4638344,0.6509938,0.002574211,0.008500836,1.809,0.3141992
2024_02_10_00_24_27_822,1.454685,0.5040447,0.6798912,0.002589125,0.008577523,1.809,0.3141992
2024_02_10_00_24_27_859,1.503226,0.5445964,0.7080269,0.002601908,0.008644535,1.809,0.3141992
2024_02_10_00_24_27_896,1.551867,0.5876465,0.7369222,0.002613626,0.008705869,1.809,0.3141992
2024_02_10_00_24_27_935,1.598014,0.6308948,0.7650591,0.002623746,0.008758757,1.809,0.3141992
2024_02_10_00_24_27_972,1.644119,0.6766442,0.793956,0.002633334,0.008806967,1.809,0.3141992
2024_02_10_00_24_28_005,1.68307,0.7174399,0.819052,0.002640258,0.008844292,1.809,0.3141992
2024_02_10_00_24_28_043,1.726636,0.7656084,0.8479499,0.002647715,0.008883494,1.809,0.3141992
2024_02_10_00_24_28_079,1.7677,0.8136984,0.8760873,0.002653574,0.008917057,1.809,0.3141992
2024_02_10_00_24_28_113,1.803169,0.8575482,0.9011823,0.0026589,0.008944111,1.809,0.3141992
2024_02_10_00_24_28_147,1.83855,0.9036419,0.9270405,0.002663694,0.008969012,1.809,0.3141992
2024_02_10_00_24_28_184,1.875685,0.9548234,0.9551752,0.002668487,0.008993261,1.809,0.3141992
2024_02_10_00_24_28_222,1.912307,1.008454,0.9840721,0.002672216,0.009015548,1.809,0.3141992
2024_02_10_00_24_28_259,1.94646,1.061668,1.012207,0.002675944,0.009034874,1.809,0.3141992
2024_02_10_00_24_28_293,1.975647,1.109921,1.037301,0.002678607,0.009050434,1.809,0.3141992
2024_02_10_00_24_28_329,2.007741,1.166373,1.066195,0.00268127,0.009066469,1.809,0.3141992
2024_02_10_00_24_28_367,2.037412,1.222205,1.094331,0.002683934,0.009080446,1.809,0.3141992
2024_02_10_00_24_28_401,2.063281,1.274227,1.120181,0.002686064,0.00909188,1.809,0.3141992
2024_02_10_00_24_28_434,2.087095,1.325341,1.145269,0.002687662,0.009101409,1.809,0.3141992
2024_02_10_00_24_28_471,2.112918,1.384917,1.174168,0.00268926,0.009111732,1.809,0.3141992
