timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_10_20_09_59_127,0.001121253,2.52405e-06,0.0001679369,5.927805e-05,0.008730919,1.809,-0.03858091
2024_02_10_20_09_59_159,0.01469758,9.365845e-06,6.282105,0.004916303,0.005950225,1.809,-0.1046997
2024_02_10_20_09_59_197,0.04569602,-7.439288e-05,6.278543,6.283011,0.004099723,1.809,-0.1046997
2024_02_10_20_09_59_235,0.08993012,-0.0004069908,6.273091,6.282938,0.00308824,1.809,-0.1046997
2024_02_10_20_09_59_272,0.1414346,-0.001111229,6.266636,6.282874,0.002669493,1.809,-0.1046997
2024_02_10_20_09_59_306,0.1937511,-0.002193527,6.260026,6.282814,0.002655392,1.809,-0.1046997
2024_02_10_20_09_59_344,0.2541548,-0.003886087,6.252122,6.282751,0.002891342,1.809,-0.1046997
2024_02_10_20_09_59_376,0.3099962,-0.005881113,6.244625,6.282701,0.003221598,1.809,-0.1046997
2024_02_10_20_09_59_413,0.3757548,-0.008772023,6.235662,6.28265,0.003667527,1.809,-0.1046997
2024_02_10_20_09_59_447,0.4336757,-0.01180968,6.227694,6.28261,0.004073245,1.809,-0.1046997
2024_02_10_20_09_59_485,0.5009511,-0.0159212,6.218383,6.282569,0.004536073,1.809,-0.1046997
2024_02_10_20_09_59_522,0.5668167,-0.02055783,6.209228,6.282533,0.004966219,1.809,-0.1046997
2024_02_10_20_09_59_560,0.6346673,-0.02597014,6.199768,6.2825,0.005378374,1.809,-0.1046997
2024_02_10_20_09_59_593,0.6936752,-0.03120379,6.191523,6.282475,0.005708751,1.809,-0.1046997
2024_02_10_20_09_59_626,0.7527129,-0.03693229,6.183259,6.282452,0.006012978,1.809,-0.1046997
2024_02_10_20_09_59_663,0.8206913,-0.04413999,6.173728,6.282428,0.006331809,1.809,-0.1046997
2024_02_10_20_09_59_701,0.8868423,-0.05178534,6.164437,6.282407,0.006611796,1.809,-0.1046997
2024_02_10_20_09_59_738,0.9547209,-0.06027955,6.154891,6.282389,0.006869267,1.809,-0.1046997
2024_02_10_20_09_59_771,1.013605,-0.06818292,6.146596,6.282374,0.007070842,1.809,-0.1046997
2024_02_10_20_09_59_810,1.081328,-0.07788911,6.137042,6.282359,0.007279174,1.809,-0.1046997
2024_02_10_20_09_59_842,1.140059,-0.0868429,6.128745,6.282348,0.007442062,1.809,-0.1046997
2024_02_10_20_09_59_880,1.205813,-0.09746097,6.119442,6.282336,0.00760561,1.809,-0.1046997
2024_02_10_20_09_59_918,1.273233,-0.1090019,6.109887,6.282326,0.007755429,1.809,-0.1046997
2024_02_10_20_09_59_955,1.338763,-0.120857,6.100583,6.282317,0.007885552,1.809,-0.1046997
2024_02_10_20_09_59_988,1.398875,-0.1322872,6.092033,6.282309,0.007992271,1.809,-0.1046997
2024_02_10_20_10_00_026,1.464174,-0.1453088,6.082728,6.282302,0.008096149,1.809,-0.1046997
2024_02_10_20_10_00_060,1.524066,-0.1578093,6.074178,6.282296,0.00818198,1.809,-0.1046997
2024_02_10_20_10_00_096,1.589114,-0.1719933,6.064874,6.28229,0.00826533,1.809,-0.1046997
2024_02_10_20_10_00_135,1.655777,-0.1871896,6.055317,6.282285,0.008341329,1.809,-0.1046997
2024_02_10_20_10_00_171,1.72054,-0.202597,6.046013,6.28228,0.008407677,1.809,-0.1046997
2024_02_10_20_10_00_210,1.786896,-0.2190465,6.036457,6.282276,0.008467974,1.809,-0.1046997
2024_02_10_20_10_00_247,1.851349,-0.2356711,6.027153,6.282273,0.008520401,1.809,-0.1046997
2024_02_10_20_10_00_285,1.917379,-0.2533684,6.017598,6.282269,0.008568132,1.809,-0.1046997
2024_02_10_20_10_00_318,1.974578,-0.2692477,6.0093,6.282267,0.008605113,1.809,-0.1046997
2024_02_10_20_10_00_355,2.038548,-0.287615,5.999996,6.282264,0.008642735,1.809,-0.1046997
2024_02_10_20_10_00_393,2.104066,-0.3070965,5.990441,6.282262,0.008676736,1.809,-0.1046997
2024_02_10_20_10_00_430,2.167677,-0.3266656,5.981136,6.28226,0.008706383,1.809,-0.1046997
2024_02_10_20_10_00_463,2.225966,-0.3451689,5.972588,6.282259,0.008730608,1.809,-0.1046997
2024_02_10_20_10_00_501,2.289215,-0.3658699,5.963283,6.282257,0.00875406,1.809,-0.1046997
