timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_19_00_15_376,0.003261924,3.74037e-06,-3.512541e-05,1.202476e-07,0.007466573,2.5,0.0
2024_02_11_19_00_15_413,0.03099129,3.707767e-06,-4.195983e-05,5.48102e-07,0.003819826,2.5,0.0
2024_02_11_19_00_15_446,0.07275528,3.507227e-06,-0.0001509156,-1.946267e-06,0.001920553,2.5,0.0
2024_02_11_19_00_15_479,0.1265838,4.103855e-06,-2.981268e-05,2.667388e-06,0.0007710759,2.5,0.0
2024_02_11_19_00_15_517,0.2001849,3.827642e-06,-0.0001006227,-1.269898e-06,0.001748565,2.5,0.0
2024_02_11_19_00_15_555,0.2812291,3.906745e-06,-0.0001536259,1.108167e-07,6.282923,2.5,0.0
2024_02_11_19_00_15_593,0.3718029,4.238806e-06,-0.0001123621,-1.461835e-09,6.283,2.5,0.0
2024_02_11_19_00_15_630,0.464305,4.423973e-06,-0.000108952,4.267631e-08,0.0003721423,2.5,0.0
2024_02_11_19_00_15_667,0.5606546,4.605114e-06,-0.0001087042,-2.365641e-06,0.001216532,2.5,0.0
2024_02_11_19_00_15_705,0.6546167,4.783039e-06,-0.0001091775,-1.18769e-06,0.002035083,2.5,0.0
2024_02_11_19_00_15_743,0.7510102,4.952106e-06,-0.0001116214,2.940247e-07,0.002798887,2.5,0.0
2024_02_11_19_00_15_780,0.8447258,5.136325e-06,-0.0001084207,-2.164402e-06,0.003463451,2.5,0.0
2024_02_11_19_00_15_817,0.9408366,5.348832e-06,-0.0001048866,-3.409615e-07,0.004069064,2.5,0.0
2024_02_11_19_00_15_851,1.024209,5.499307e-06,-0.0001059228,2.007746e-07,0.004537022,2.5,0.0
2024_02_11_19_00_15_888,1.120112,5.661132e-06,-0.0001082078,1.650791e-06,0.005021162,2.5,0.0
2024_02_11_19_00_15_926,1.213391,5.831308e-06,-0.0001038133,-3.746756e-07,0.005439291,2.5,0.0
2024_02_11_19_00_15_964,1.3091,6.034047e-06,-9.029065e-05,7.295993e-07,0.005821,2.5,0.0
2024_02_11_19_00_16_001,1.402211,6.174984e-06,-9.343197e-05,-5.466137e-07,0.006150168,2.5,0.0
2024_02_11_19_00_16_038,1.497777,6.322962e-06,-9.34799e-05,-6.376393e-07,0.006448907,2.5,0.0
2024_02_11_19_00_16_071,1.580716,6.469552e-06,-9.019328e-05,3.669069e-07,0.00668247,2.5,0.0
2024_02_11_19_00_16_109,1.673656,6.622851e-06,-8.680165e-05,5.682186e-07,0.006915763,2.5,0.0
2024_02_11_19_00_16_142,1.759018,6.742824e-06,-9.112932e-05,-2.39086e-08,0.007107603,2.5,0.0
