timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_11_21_21_03_099,0.006001681,1.79391e-06,-2.838214e-06,9.096555e-07,0.007187502,1.809,0.0
2024_02_11_21_21_03_140,0.02995688,1.794411e-06,-4.271869e-06,1.530943e-06,0.004809743,1.809,0.0
2024_02_11_21_21_03_174,0.0692291,1.80838e-06,-4.623986e-06,-9.290413e-07,0.003434273,1.809,0.0
2024_02_11_21_21_03_211,0.117487,1.869294e-06,1.327075e-05,4.075331e-07,0.002769054,1.809,0.0
2024_02_11_21_21_03_249,0.1741645,1.955565e-06,4.404451e-05,-5.723395e-07,0.00258574,1.809,0.0
2024_02_11_21_21_03_287,0.233808,1.901288e-06,4.388498e-05,4.727161e-07,0.00274405,1.809,0.0
2024_02_11_21_21_03_324,0.297913,1.861435e-06,4.527775e-05,1.189512e-07,0.003090591,1.809,0.0
2024_02_11_21_21_03_357,0.355081,1.840057e-06,4.809119e-05,-6.801774e-07,0.003466012,1.809,0.0
2024_02_11_21_21_03_395,0.4220086,1.790933e-06,4.403604e-05,-4.539059e-08,0.00393099,1.809,0.0
2024_02_11_21_21_03_428,0.4807508,1.748255e-06,4.211764e-05,1.152705e-06,0.00433651,1.809,0.0
2024_02_11_21_21_03_466,0.5488456,1.689306e-06,4.500028e-05,4.637385e-07,0.00478754,1.809,0.0
2024_02_11_21_21_03_503,0.6154454,1.613144e-06,4.139281e-05,8.317371e-07,0.005199499,1.809,0.0
2024_02_11_21_21_03_541,0.6840323,1.55358e-06,4.050054e-05,-1.788118e-07,0.005590775,1.809,0.0
2024_02_11_21_21_03_574,0.7436889,1.492624e-06,4.106649e-05,8.938877e-07,0.005902329,1.809,0.0
2024_02_11_21_21_03_611,0.8106385,1.41167e-06,3.860368e-05,-4.550126e-07,0.006221066,1.809,0.0
2024_02_11_21_21_03_649,0.8794364,1.359678e-06,3.592208e-05,-2.479426e-07,0.006516261,1.809,0.0
2024_02_11_21_21_03_682,0.9391993,1.332969e-06,3.638129e-05,-2.983078e-07,0.006747678,1.809,0.0
2024_02_11_21_21_03_720,1.008027,1.287073e-06,3.466204e-05,8.944206e-07,0.006987468,1.809,0.0
2024_02_11_21_21_03_753,1.067802,1.251437e-06,3.503313e-05,6.528267e-07,0.007174687,1.809,0.0
2024_02_11_21_21_03_791,1.136632,1.227414e-06,3.689982e-05,-3.07198e-07,0.007368582,1.809,0.0
2024_02_11_21_21_03_828,1.203647,1.183182e-06,3.466745e-05,2.636305e-07,0.007536967,1.809,0.0
2024_02_11_21_21_03_866,1.272467,1.151921e-06,3.48554e-05,-7.37664e-07,0.007691284,1.809,0.0
2024_02_11_21_21_03_903,1.33947,1.118933e-06,3.404249e-05,-7.222566e-07,0.007824948,1.809,0.0
2024_02_11_21_21_03_941,1.408278,1.103221e-06,4.007598e-05,4.093757e-10,0.007946989,1.809,0.0
2024_02_11_21_21_03_978,1.475268,1.068466e-06,4.061814e-05,-1.576601e-07,0.008052997,1.809,0.0
2024_02_11_21_21_04_016,1.544066,1.040306e-06,4.096213e-05,1.627406e-07,0.00814941,1.809,0.0
2024_02_11_21_21_04_053,1.611048,9.745753e-07,3.56865e-05,-5.342822e-07,0.008233214,1.809,0.0
2024_02_11_21_21_04_091,1.678027,9.250257e-07,3.728032e-05,7.883136e-07,0.008307631,1.809,0.0
2024_02_11_21_21_04_128,1.746812,8.594292e-07,3.34089e-05,-6.648812e-07,0.008375907,1.809,0.0
2024_02_11_21_21_04_165,1.813784,8.154157e-07,3.358151e-05,1.320411e-07,0.008434918,1.809,0.0
2024_02_11_21_21_04_199,1.875321,7.720098e-07,3.174654e-05,7.58946e-07,0.008483407,1.809,0.0
2024_02_11_21_21_04_236,1.942288,7.540218e-07,3.458015e-05,-1.09378e-06,0.008530644,1.809,0.0
