timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_12_12_34_55_674,0.002611071,8.63839e-07,-4.642451e-05,1.077198e-05,0.008329657,1.223,0.0
2024_02_12_12_34_55_712,0.01607826,8.352711e-07,-9.753697e-06,-3.39685e-07,0.006566657,1.223,0.0
2024_02_12_12_34_55_749,0.04049188,8.428732e-07,-5.467761e-06,-8.772076e-07,0.00552065,1.223,0.0
2024_02_12_12_34_55_786,0.07144088,8.945887e-07,8.05627e-06,1.166218e-06,0.005016333,1.223,0.0
2024_02_12_12_34_55_824,0.1082008,9.072534e-07,1.059164e-05,-1.584893e-06,0.004859334,1.223,0.0
2024_02_12_12_34_55_857,0.1428803,9.211343e-07,1.336403e-05,1.751655e-07,0.004908687,1.223,0.0
2024_02_12_12_34_55_898,0.1849493,9.169024e-07,1.353816e-05,-2.106608e-07,0.005091734,1.223,0.0
2024_02_12_12_34_55_932,0.2273925,8.916803e-07,1.152697e-05,-2.562331e-07,0.005342402,1.223,0.0
2024_02_12_12_34_55_970,0.2719878,8.91748e-07,1.219926e-05,-7.379126e-07,0.00563372,1.223,0.0
2024_02_12_12_34_56_008,0.3160584,8.929284e-07,1.216345e-05,-4.077272e-07,0.005926798,1.223,0.0
2024_02_12_12_34_56_045,0.3617561,8.863094e-07,1.238208e-05,-6.319907e-08,0.00622196,1.223,0.0
2024_02_12_12_34_56_078,0.401681,8.760195e-07,9.050242e-06,-2.157919e-06,0.00646664,1.223,0.0
2024_02_12_12_34_56_116,0.4466219,8.789635e-07,1.019274e-05,1.219467e-06,0.006723625,1.223,0.0
2024_02_12_12_34_56_153,0.4929077,8.669901e-07,8.138244e-06,1.626891e-06,0.006966756,1.223,0.0
2024_02_12_12_34_56_191,0.5380577,8.608218e-07,7.364526e-06,1.118477e-06,0.007182734,1.223,0.0
2024_02_12_12_34_56_224,0.5795934,8.377638e-07,5.723107e-06,2.580696e-07,0.007363367,1.223,0.0
2024_02_12_12_34_56_262,0.6248255,8.267594e-07,3.821362e-06,5.255481e-08,0.007541705,1.223,0.0
2024_02_12_12_34_56_298,0.671301,8.33927e-07,4.647797e-06,3.11187e-07,0.007706245,1.223,0.0
2024_02_12_12_34_56_337,0.7165651,8.368854e-07,6.607715e-06,6.604333e-07,0.007849745,1.223,0.0
2024_02_12_12_34_56_373,0.7630594,8.41025e-07,7.977513e-06,5.694678e-10,0.007981353,1.223,0.0
2024_02_12_12_34_56_407,0.8034388,8.520376e-07,1.155898e-05,-5.12948e-07,0.008083755,1.223,0.0
2024_02_12_12_34_56_441,0.8438197,8.558969e-07,1.306453e-05,-5.675383e-07,0.00817662,1.223,0.0
2024_02_12_12_34_56_478,0.8903185,8.479e-07,1.314243e-05,-7.11224e-08,0.008272404,1.223,0.0
2024_02_12_12_34_56_515,0.9355955,8.5241e-07,1.577513e-05,-1.950571e-06,0.008355284,1.223,0.0
2024_02_12_12_34_56_549,0.9771997,8.597064e-07,1.49087e-05,-1.871316e-07,0.008423383,1.223,0.0
2024_02_12_12_34_56_586,1.022472,8.547736e-07,1.468644e-05,6.83295e-07,0.008489992,1.223,0.0
2024_02_12_12_34_56_620,1.064073,8.200356e-07,1.202443e-05,7.311043e-07,0.00854465,1.223,0.0
2024_02_12_12_34_56_657,1.109343,8.455448e-07,1.483216e-05,-7.281109e-07,0.008597909,1.223,0.0
2024_02_12_12_34_56_694,1.154615,8.306672e-07,1.317269e-05,1.788785e-07,0.008645027,1.223,0.0
2024_02_12_12_34_56_733,1.201107,8.069331e-07,1.197071e-05,6.346003e-07,0.00868827,1.223,0.0
2024_02_12_12_34_56_770,1.246376,7.91175e-07,1.199677e-05,-8.21055e-08,0.008725641,1.223,0.0
2024_02_12_12_34_56_807,1.292867,7.791185e-07,1.208324e-05,5.063206e-08,0.008760004,1.223,0.0
2024_02_12_12_34_56_844,1.338131,7.506539e-07,9.055178e-06,9.565876e-08,0.008789629,1.223,0.0
2024_02_12_12_34_56_882,1.384619,7.675774e-07,1.145837e-05,-1.356685e-06,0.008816659,1.223,0.0
2024_02_12_12_34_56_920,1.429882,7.957354e-07,1.263684e-05,-1.442496e-07,0.008840054,1.223,0.0
2024_02_12_12_34_56_957,1.476365,7.926085e-07,1.086426e-05,6.134344e-07,0.008861543,1.223,0.0
2024_02_12_12_34_56_994,1.521624,8.165485e-07,1.277756e-05,-3.726591e-07,0.008880079,1.223,0.0
2024_02_12_12_34_57_031,1.568106,8.553315e-07,1.785431e-05,3.579046e-07,0.008896948,1.223,0.0
2024_02_12_12_34_57_065,1.60847,8.428747e-07,1.567273e-05,1.757375e-06,0.008909914,1.223,0.0
2024_02_12_12_34_57_103,1.654951,8.187067e-07,1.297236e-05,1.204115e-07,0.008923323,1.223,0.0
2024_02_12_12_34_57_140,1.700209,8.439894e-07,1.57364e-05,-1.725433e-06,0.008934948,1.223,0.0
2024_02_12_12_34_57_174,1.741796,8.616853e-07,1.713746e-05,2.578176e-08,0.008944304,1.223,0.0
2024_02_12_12_34_57_211,1.78705,8.574269e-07,1.65193e-05,-6.064018e-07,0.008953811,1.223,0.0
2024_02_12_12_34_57_249,1.833528,8.426832e-07,1.657771e-05,1.822704e-06,0.008961977,1.223,0.0
2024_02_12_12_34_57_282,1.873888,8.394605e-07,1.38861e-05,-1.756186e-06,0.008968624,1.223,0.0
2024_02_12_12_34_57_315,1.914249,8.616304e-07,1.64341e-05,-8.26101e-07,0.008974822,1.223,0.0
2024_02_12_12_34_57_349,1.955834,8.915733e-07,1.763311e-05,2.986652e-07,0.008980187,1.223,0.0
2024_02_12_12_34_57_387,2.001086,8.706126e-07,1.648676e-05,1.800813e-06,0.008985521,1.223,0.0
2024_02_12_12_34_57_425,2.047562,8.389734e-07,1.761147e-05,1.232899e-06,0.00899032,1.223,0.0
2024_02_12_12_34_57_462,2.092812,8.423374e-07,2.041234e-05,9.13483e-07,0.00899461,1.223,0.0
2024_02_12_12_34_57_499,2.139286,8.19665e-07,1.880774e-05,2.115692e-06,0.008998871,1.223,0.0
2024_02_12_12_34_57_533,2.179646,8.139302e-07,2.093654e-05,1.043483e-06,0.009001764,1.223,0.0
2024_02_12_12_34_57_570,2.2249,7.950548e-07,1.937158e-05,-6.098459e-08,0.009004713,1.223,0.0
2024_02_12_12_34_57_608,2.271375,7.906045e-07,1.900693e-05,-3.102316e-07,0.009007338,1.223,0.0
2024_02_12_12_34_57_640,2.311737,7.640054e-07,1.724915e-05,1.68334e-06,0.009009542,1.223,0.0
2024_02_12_12_34_57_674,2.353318,7.293882e-07,1.677839e-05,8.810536e-08,0.009011389,1.223,0.0
2024_02_12_12_34_57_712,2.398571,7.289659e-07,1.724935e-05,4.331342e-07,0.009013505,1.223,0.0
2024_02_12_12_34_57_745,2.438932,7.219957e-07,1.570881e-05,-4.342493e-07,0.009014996,1.223,0.0
2024_02_12_12_34_57_787,2.490298,7.255018e-07,1.750964e-05,2.823796e-07,0.009016605,1.223,0.0
2024_02_12_12_34_57_820,2.530657,7.06213e-07,1.522776e-05,-1.350419e-06,0.009017767,1.223,0.0
2024_02_12_12_34_57_854,2.572238,6.910922e-07,1.38617e-05,-3.149805e-07,0.009018989,1.223,0.0
2024_02_12_12_34_57_890,2.617491,6.959577e-07,1.528809e-05,-9.134399e-07,0.009020241,1.223,0.0
2024_02_12_12_34_57_928,2.663964,7.170127e-07,1.751516e-05,-1.638984e-06,0.009021016,1.223,0.0
2024_02_12_12_34_57_961,2.704324,7.195939e-07,2.000356e-05,-9.903337e-07,0.009021791,1.223,0.0
2024_02_12_12_34_57_999,2.749578,7.238502e-07,1.85001e-05,8.137667e-08,0.009022715,1.223,0.0
2024_02_12_12_34_58_037,2.796051,7.034413e-07,2.00987e-05,-9.688356e-07,0.009023398,1.223,0.0
2024_02_12_12_34_58_074,2.841298,6.936185e-07,1.87212e-05,-4.393438e-07,0.009024293,1.223,0.0
2024_02_12_12_34_58_107,2.882881,6.774437e-07,1.870794e-05,8.717059e-07,0.009024652,1.223,0.0
2024_02_12_12_34_58_145,2.928134,6.714641e-07,2.004214e-05,7.245249e-07,0.009025068,1.223,0.0
2024_02_12_12_34_58_187,2.979501,6.476516e-07,1.904433e-05,-8.920715e-07,0.009025486,1.223,0.0
2024_02_12_12_34_58_223,3.024749,6.156321e-07,1.623611e-05,-1.674795e-07,0.009025753,1.223,0.0
2024_02_12_12_34_58_261,3.07122,6.177749e-07,1.791686e-05,5.408928e-07,0.009025992,1.223,0.0
2024_02_12_12_34_58_299,3.116471,5.945492e-07,1.536571e-05,7.672144e-07,0.009026201,1.223,0.0
2024_02_12_12_34_58_336,3.162947,5.496233e-07,1.092767e-05,5.80736e-08,0.009026381,1.223,0.0
2024_02_12_12_34_58_374,3.2082,5.423107e-07,1.235305e-05,-5.799959e-07,0.009026888,1.223,0.0
2024_02_12_12_34_58_411,3.254677,5.349526e-07,1.15436e-05,-9.173651e-07,0.009027095,1.223,0.0
2024_02_12_12_34_58_449,3.299931,5.379528e-07,1.403896e-05,-1.865982e-06,0.009027155,1.223,0.0
