timestamp,posX,posY,yaw,roll,pitch,control_velocity,steering
2024_02_12_20_45_45_406,0.0007528067,2.268198e-06,-2.486418e-05,-1.154538e-06,0.009118679,1.516,0.0
2024_02_12_20_45_45_439,0.01039031,2.298342e-06,-1.597944e-05,-3.304811e-07,0.006717368,1.516,0.0
2024_02_12_20_45_45_476,0.03497496,2.344688e-06,-6.115954e-06,2.181357e-07,0.005077607,1.516,0.0
2024_02_12_20_45_45_509,0.06681883,2.426517e-06,2.28247e-05,2.149799e-06,0.004231755,1.516,0.0
2024_02_12_20_45_45_547,0.1085657,2.411701e-06,1.70829e-05,1.256702e-06,0.003808174,1.516,0.0
2024_02_12_20_45_45_585,0.156654,2.404249e-06,1.630148e-05,7.31801e-07,0.003754857,1.516,0.0
2024_02_12_20_45_45_618,0.2012424,2.368864e-06,1.595666e-05,4.60703e-07,0.003898772,1.516,0.0
2024_02_12_20_45_45_656,0.2532981,2.361543e-06,1.428837e-05,8.644525e-07,0.004178736,1.516,0.0
2024_02_12_20_45_45_693,0.3082628,2.337987e-06,1.364624e-05,-1.102578e-06,0.00453252,1.516,0.0
2024_02_12_20_45_45_726,0.3568098,2.310255e-06,1.048478e-05,-2.715451e-07,0.004861122,1.516,0.0
2024_02_12_20_45_45_764,0.4133268,2.319126e-06,1.766257e-05,1.617096e-06,0.005240567,1.516,0.0
2024_02_12_20_45_45_797,0.4627644,2.290497e-06,1.675372e-05,6.133203e-09,0.005559452,1.516,0.0
2024_02_12_20_45_45_835,0.5199606,2.278366e-06,1.729632e-05,7.870855e-07,0.005906174,1.516,0.0
2024_02_12_20_45_45_872,0.575829,2.254754e-06,1.507342e-05,-6.207679e-07,0.006219041,1.516,0.0
2024_02_12_20_45_45_910,0.6333228,2.217467e-06,1.370324e-05,5.955356e-07,0.006512832,1.516,0.0
2024_02_12_20_45_45_948,0.6893739,2.215149e-06,1.325647e-05,1.161763e-07,0.006772384,1.516,0.0
2024_02_12_20_45_45_985,0.7469842,2.223913e-06,1.4463e-05,-3.45118e-07,0.00701283,1.516,0.0
2024_02_12_20_45_46_022,0.8031051,2.218335e-06,1.264061e-05,-2.74513e-07,0.007223385,1.516,0.0
2024_02_12_20_45_46_056,0.8531717,2.178639e-06,1.001001e-05,-5.103684e-07,0.007392752,1.516,0.0
2024_02_12_20_45_46_093,0.9108299,2.158316e-06,9.827213e-06,7.692382e-07,0.007568498,1.516,0.0
2024_02_12_20_45_46_130,0.9669725,2.145173e-06,1.057315e-05,3.03976e-08,0.007721356,1.516,0.0
